,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30–80 Hz)
Zapline,99.99995632787567,99.98433547943544,99.97791947538252,99.99801675897601,95.12918185475948
Spectrum Fit,99.99968864028061,93.43001502524643,99.97832874007497,9.299637784530454,0.6460205598704741
Freq-Domain Hampel,98.12563782128187,93.25537280182718,95.1241451912867,10.169231611669561,0.8608894116399242
Time-Domain Hampel,99.48041573469875,95.62208494248374,95.84246044623345,95.79190458525217,99.04782274378114
