Method,MeanAtt_dB,RMSE_logPSD,BroadbandPres_%
Zapline,0.04839116076599812,2.0371952317728447e-15,98.62553842225662
Spectrum Fit,8.864210103191047,5.3357931368428155e-15,47.55867339013075
Freq-Domain Hampel,9.022185265642523,4.013526910660224e-13,46.95217795277446
Time-Domain Hampel,-18.383484184222844,1.55560859619067e-13,98.26694749531535
