harmonic,p_raw,p_clean,atten_dB
7.0,1.382012753237231e-11,1.3819936212769e-11,6.012218261472844e-05
14.0,4.04486828985239e-11,4.044863988210428e-11,4.618643245996917e-06
21.0,5.550396137963893e-13,5.550162687676451e-13,0.00018266859037012554
28.0,1.0805862397797186e-10,1.0805865014963526e-10,-1.0518556689191038e-06
35.0,4.567307639575679e-13,4.567901294061562e-13,-0.000564455327977821
42.0,1.6882711034597393e-10,1.6054233736787575e-10,0.2185260545875108
49.0,1.0844082090637897e-15,1.05053710581219e-15,0.13781399925717425
56.0,4.008583635368247e-16,3.9114427192155724e-16,0.1065397453760885
63.0,1.4884226505598938e-16,1.4522638846398342e-16,0.10680733096972597
70.0,1.4238761313195735e-16,1.3896094457582204e-16,0.10579452399048553
77.0,7.964773502825753e-17,7.877806464471703e-17,0.04768122910561147
84.0,1.2413484690582528e-16,1.217010841980142e-16,0.08599265716612584
91.0,5.597665421430749e-17,5.575725516459677e-17,0.01705550617802238
98.0,6.096934514212726e-17,6.084993406852552e-17,0.008514183844993067
105.0,4.56356135323539e-17,4.5635475459592214e-17,1.3139810023725447e-05
112.0,4.297464950699465e-17,4.3018409741086406e-17,-0.004420084597412113
119.0,4.125063090981338e-17,4.1320506916181485e-17,-0.007350454898965424
