Method,MeanAtt_dB,RMSE_logPSD,BroadbandPres_%
Zapline,0.6849698492819515,3.1092319699694157e-15,76.95572582125867
Spectrum Fit,6.8354039348721525,5.519827743728959e-15,38.52005012438943
Freq-Domain Hampel,6.672840378005043,2.673164274547899e-13,38.1253642540324
Time-Domain Hampel,-22.06788742302057,2.6318467709748307e-13,97.06758657157101
