harmonic,p_raw,p_clean,atten_dB
7.0,2.2053899900109427e-11,1.9608154937064686e-11,0.5104866912756038
14.0,7.012902119416597e-11,2.8250922624069827e-12,13.948651417397183
21.0,3.130400674776511e-12,1.368111328294629e-12,3.594784895320676
28.0,9.504464020787442e-11,3.3662242740843513e-13,24.507845836035
35.0,3.240269793579321e-13,1.364399338092946e-13,3.7563967219151917
42.0,1.6525245331768477e-10,3.106446200197402e-13,27.25884079116764
49.0,1.0502784114557224e-15,8.261870106027641e-17,11.042260759521
56.0,2.3605999913865183e-16,2.898153247367162e-17,9.109010550144005
63.0,4.347715988852385e-17,2.305801086617223e-17,2.754393268824624
70.0,6.988242872786455e-17,1.9341946979313655e-17,5.578678017995005
77.0,2.2392889070938133e-17,1.6632833342076485e-17,1.2914389272037374
84.0,8.056803971713397e-17,1.4794090943584043e-17,7.360745129424552
91.0,1.5913895345232764e-17,1.3353873171311712e-17,0.7616925048154787
98.0,2.6082694578411025e-17,1.2380260611169763e-17,3.236226690145232
105.0,1.3181802782537605e-17,1.1630122293758071e-17,0.5439052825260597
112.0,1.251656698820871e-17,1.1133406993456107e-17,0.5085714258154932
119.0,1.1978293234706951e-17,1.0829318884132429e-17,0.43793798330010214
