harmonic,p_raw,p_clean,atten_dB
7.0,2.2053899900109427e-11,2.093932452615112e-11,0.22522731209187466
14.0,7.012902119416597e-11,3.5485398446612177e-12,12.958480913462003
21.0,3.130400674776511e-12,1.5647637437956763e-12,3.0115115372484267
28.0,9.504464020787442e-11,1.1847326823630786e-12,19.04307261809644
35.0,3.240269793579321e-13,1.6143879267989484e-13,3.025732712054763
42.0,1.6525245331768477e-10,1.0547580409780468e-12,21.94995070765307
49.0,1.0502784114557224e-15,8.932034040376729e-17,10.703540691057567
56.0,2.3605999913865183e-16,2.235210315062326e-17,10.237040082439002
63.0,4.347715988852385e-17,1.7758332382158515e-17,3.8885898598854833
70.0,6.988242872786455e-17,1.5011063060930578e-17,6.679565408394979
77.0,2.2392889070938133e-17,1.2857533688139458e-17,2.409524578183347
84.0,8.056803971713397e-17,1.1883367340066418e-17,8.31223274756965
91.0,1.5913895345232764e-17,1.0340645888848478e-17,1.872288315307964
98.0,2.6082694578411025e-17,9.694964377680987e-18,4.298062382437088
105.0,1.3181802782537605e-17,9.00440734863426e-18,1.6551967598782498
112.0,1.251656698820871e-17,8.621220952979808e-18,1.6191645227962774
119.0,1.1978293234706951e-17,8.384639850378735e-18,1.549105277529551
