,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30–80 Hz)
Zapline,100.00018212739614,99.9993305365886,99.99257278295143,46.35395546969661,85.66905967101577
Spectrum Fit,100.00075582366574,97.0183800572908,99.98805064994815,12.369878650518336,1.1483180791328036
Freq-Domain Hampel,97.6960220605054,95.97140792048103,94.84200616430157,12.99327053923752,1.5852241236237845
Time-Domain Hampel,99.38604175733519,94.1038000249349,93.52706560070901,94.50509706515689,99.08280640986415
